web-scraper-order,Street,full_address,PLZ,Ortschaftsname,Kantonskürzel,housenumber,strplz,address_geocoding,latitude,longitude
1672673926-34301,Via Ceresio 39A,"Via Ceresio 39A, 6963 Pregassona",6963,Pregassona,TI,39.0,6963,Via Ceresio 39A Pregassona,46.02116394042969,8.97375774383545
1672673272-29951,Via Vedo 3,"Via Vedo 3, 6963 Cureggia",6963,Pregassona,TI,3.0,6963,Via Vedo 3 Pregassona,46.02116394042969,8.97375774383545
1672673272-29952,Via vedo 3,"Via vedo 3, 6963 Cureggia",6963,Pregassona,TI,3.0,6900,Via vedo 3 Pregassona,46.001792907714844,8.94404125213623
1672673941-34412,Via Aprica 18,"Via Aprica 18, 6900 Lugano",6900,Lugano,TI,18.0,6965,Via Aprica 18 Lugano,46.05095672607422,8.988698959350586
1672673938-34382,Riva Caccia 1A,"Riva Caccia 1A, 6900 Lugano",6900,Lugano,TI,1.0,6932,Riva Caccia 1A Lugano,46.009281158447266,8.925307273864746
1672673941-34407,Via al Chioso 15,"Via al Chioso 15, 6900 Lugano",6900,Lugano,TI,15.0,6932,Via al Chioso 15 Lugano,46.00581741333008,8.924737930297852
1672673941-34408,Via al Ponte 5,"Via al Ponte 5, 6900 Lugano",6900,Lugano,TI,5.0,6932,Via al Ponte 5 Lugano,46.00581741333008,8.924737930297852
1672673819-33580,Via delle Scuole 15,"Via delle Scuole 15, 6900 Paradiso",6900,Lugano,TI,15.0,5436,Via delle Scuole 15 Lugano,47.439083099365234,8.367701530456543
1672673846-33780,Via Giacomo Mercoli 3,"Via Giacomo Mercoli 3, 6900 Lugano",6900,Lugano,TI,3.0,8605,Via Giacomo Mercoli 3 Lugano,47.385677337646484,8.718844413757324
1672673846-33782,Via Coremmo 1,"Via Coremmo 1, 6900 Lugano",6900,Lugano,TI,1.0,8605,Via Coremmo 1 Lugano,47.388282775878906,8.720287322998047
1672673849-33816,Via al Ponte 6,"Via al Ponte 6, 6900 Lugano",6900,Lugano,TI,6.0,8868,Via al Ponte 6 Lugano,47.11652755737305,9.060431480407715
1672673849-33819,via Brentani 17,"via Brentani 17, 6900 Lugano",6900,Lugano,TI,17.0,8867,via Brentani 17 Lugano,47.12723159790039,9.053755760192871
1672671762-22170,Riva Antonio Caccia 1,"Riva Antonio Caccia 1, 6900 Lugano",6900,Lugano,TI,1.0,5645,Riva Antonio Caccia 1 Lugano,47.18423080444336,8.371940612792969
1672671765-22185,Via 1,"Via 1, 6900 Lugano",6900,Lugano,TI,1.0,8840,Via 1 Lugano,47.14072036743164,8.74096393585205
1672671765-22196,6900,"6900, 6900 Lugano",6900,Lugano,TI,6900.0,5415,6900 Lugano,47.48747634887695,8.301338195800781
1672671768-22207,Strada San Maurizio 2,"Strada San Maurizio 2, 6900 Lugano",6900,Lugano,TI,2.0,1209,Strada San Maurizio 2 Lugano,46.22549819946289,6.123610973358154
1672671771-22220,portichetto 2,"portichetto 2, 6900 Lugano",6900,Lugano,TI,2.0,8340,portichetto 2 Lugano,47.29999542236328,8.842309951782227
1672672256-25402,Via Bregà 11,"Via Bregà 11, 6965 Cadro",6965,Cadro,TI,11.0,4104,Via Bregà 11 Cadro,47.52437973022461,7.558617115020752
1672673883-34031,Via Principale 4,"Via Principale 4, 6914 Carona",6914,Carona,TI,4.0,8608,Via Principale 4 Carona,47.2689323425293,8.81756591796875
1672672581-27542,Piazza Nosed 2,"Piazza Nosed 2, 6914 Carona",6914,Carona,TI,2.0,4125,Piazza Nosed 2 Carona,47.59468460083008,7.65544319152832
1672673938-34391,Str. di Gandria 28,"Str. di Gandria 28, 6976 Lugano",6976,Castagnola,TI,28.0,8134,Str. di Gandria 28 Castagnola,47.30880355834961,8.525081634521484
1672673474-31223,Via 1,"Via 1, 6976 Castagnola",6976,Castagnola,TI,1.0,6612,Via 1 Castagnola,46.1578483581543,8.779295921325684
